sprint,item_id,title,registry_status,files_touched,art1_intake,art2_impact_analysis,art3_implementation_plan,art4_code_gate,art5_impl_summary_qa,art6_owner_smoke_signoff,art0_session_start,missing_count,severity,existing_docs_path,owner_verified_in_prose,tracked_in_open_gaps,estimated_doc_effort_hrs,recommended_action,notes,audit_revision,archived
POS 3.0,BUG-087,PayLater PAID badge on dashboard,SHIPPED + VERIFIED,OrderEntry.jsx; CollectPaymentPanel.jsx,PRESENT,PRESENT,PRESENT,WAIVED,PRESENT,PRESENT,N/A,0,RESOLVED,memory/bugs/intake/BUG_087_INTAKE_2026_05_30.md; memory/change_requests/production_hotfixes/PROD_HOTFIX_001_PREPAID_AUTO_SETTLE_PRINT_GUARD_IMPACT_ANALYSIS_2026_05_20.md; memory/change_requests/production_hotfixes/PROD_BUG_003_PAYLATER_TABLE_CLEAR_BASELINE_REANALYSIS_2026_05_20.md; memory/bugs/POS3_0_BUG_IMPACT_ANALYSIS_ADDENDUM.md; memory/bugs/POS3_0_BUG_IMPACT_ANALYSIS.md,TRUE,FALSE,2.0,All artifacts present (or WAIVED) — archived from active register,P0 bug; closed pre-artifact-rule expansion,v2.9_2026_05_30,Y
POS 3.0,BUG-088,Room Transfer v2 endpoint + socket,SHIPPED + VERIFIED,orderService.js; socketHandlers.js,PRESENT,PRESENT,PRESENT,WAIVED,PRESENT,PRESENT,N/A,0,RESOLVED,memory/change_requests/SUBSUMED_BACKLOG_001_REPORT_2026_05_30.md; memory/bugs/intake/BUG_088_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_100_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_089_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_102_INTAKE_2026_05_30.md,TRUE,FALSE,2.0,All artifacts present (or WAIVED) — archived from active register,P1; v2 endpoint live,v2.9_2026_05_30,Y
POS 3.0,BUG-089,Eliminate redundant API calls on update-food-status,SHIPPED + VERIFIED,socketHandlers.js,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,N/A,0,RESOLVED,memory/bugs/intake/BUG_088_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_100_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_089_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_102_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_103_INTAKE_2026_05_30.md,TRUE,FALSE,1.5,All artifacts present (or WAIVED) — archived from active register,P1; dedup guard,v2.9_2026_05_30,Y
POS 3.0,BUG-097,Delivery dispatch + assign rider,"SHIPPED, SMOKE PENDING",OrderCard; TableCard; deliveryService; AssignRiderModal; orderTransform; CartPanel,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,N/A,0,RESOLVED,memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_097_104_CONTINUATION_PLANNING_2026_05_20.md; memory/change_requests/production_hotfixes/PROD_BUG_002_AUTO_KOT_AUTO_BILL_TRIGGER_INVESTIGATION_2026_05_21.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_097_BUCKET_4_OWNER_APPROVAL_PLAN_2026_05_20.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_097_ANALYSIS_2026_05_19.md; memory/bugs/POS3_0_BUG_IMPACT_ANALYSIS_ADDENDUM.md,FALSE,TRUE,1.5,All artifacts present (or WAIVED) — archived from active register,P1; CartPanel gate PARKED; Bucket 5 backend-blocked,v2.9_2026_05_30,Y
POS 3.0,BUG-098,Use restaurant profile CRM key,SHIPPED + VERIFIED,authTransform.js; crmAxios.js,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,N/A,0,RESOLVED,memory/bugs/intake/BUG_098_INTAKE_2026_05_30.md; control/sessions/SESSION_START_2026_05_30_INTAKE_BACKFILL_AND_CODEGATE_WAIVER.md; memory/change_requests/final_sprint_reconciliation/POS3_0_CR_WAVE_1_OWNER_APPROVAL_PLAN_2026_05_18.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_108_BASELINE_RECONCILIATION_NOTE_2026_05_22.md; memory/bugs/POS3_0_BUG_IMPACT_ANALYSIS_ADDENDUM.md,TRUE,FALSE,1.5,All artifacts present (or WAIVED) — archived from active register,P1; FE closed,v2.9_2026_05_30,Y
POS 3.0,BUG-099,QSR / Cafe Quick Billing UX,SHIPPED + VERIFIED,CartPanel; OrderEntry; qsrModePrefs; StatusConfigPage,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,N/A,0,RESOLVED,memory/bugs/intake/BUG_099_INTAKE_2026_05_30.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_099_OWNER_APPROVAL_PLAN_2026_05_19.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_108_OWNER_DECISIONS_ADDENDUM_Q9_Q11_2026_05_22.md; memory/change_requests/final_sprint_reconciliation/POS3_0_CR_WAVE_1_OWNER_APPROVAL_PLAN_2026_05_18.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_108_BASELINE_RECONCILIATION_NOTE_2026_05_22.md,TRUE,FALSE,1.5,All artifacts present (or WAIVED) — archived from active register,P1; owner smoke PASS in prose only,v2.9_2026_05_30,Y
POS 3.0,BUG-100,Remove duplicate local toast notifications,SHIPPED + VERIFIED,Multiple components (11 dups removed),PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,N/A,0,RESOLVED,memory/bugs/intake/BUG_088_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_100_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_089_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_102_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_103_INTAKE_2026_05_30.md,TRUE,FALSE,1.5,All artifacts present (or WAIVED) — archived from active register,P1,v2.9_2026_05_30,Y
POS 3.0,BUG-102,Mark Served/Ready button 20-30s delay,SHIPPED + VERIFIED,OrderCard; TableCard,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,N/A,0,RESOLVED,memory/bugs/intake/BUG_088_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_100_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_089_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_102_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_103_INTAKE_2026_05_30.md,TRUE,FALSE,1.5,All artifacts present (or WAIVED) — archived from active register,P0; 8s→immediate+2s fallback,v2.9_2026_05_30,Y
POS 3.0,BUG-103,Remove number input arrows,SHIPPED + VERIFIED,index.css,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,N/A,0,RESOLVED,memory/bugs/intake/BUG_088_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_100_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_089_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_102_INTAKE_2026_05_30.md; memory/bugs/intake/BUG_103_INTAKE_2026_05_30.md,TRUE,FALSE,1.0,All artifacts present (or WAIVED) — archived from active register,P2; global CSS rule,v2.9_2026_05_30,Y
POS 3.0,BUG-108,CRM Coupon/Loyalty/Wallet,CRM-BLOCKED → PARTIAL,CollectPaymentPanel; couponService; loyaltyTransform,PRESENT,PRESENT,PRESENT,WAIVED,PRESENT,PRESENT,N/A,0,RESOLVED,memory/change_requests/POS_QSR_BUGS_BUG_109_BUG_110_DISCOVERY_REGISTRATION_2026_05_27.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_108_COUPON_CRM_CONTRACT_GAP_AND_QUESTIONS_2026_05_25.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_108_COUPON_FRONTEND_PAYLOAD_MAPPING_DISCOVERY_2026_05_25.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_108_API_INVENTORY_FOR_CRM_2026_05_22.md; memory/change_requests/final_sprint_reconciliation/POS3_0_BUG_108_COUPON_LOYALTY_WALLET_CRM_API_DISCOVERY_PLAN_2026_05_22.md,TRUE,TRUE,3.0,All artifacts present (or WAIVED) — archived from active register,P1 backend defect open (loyalty_idempotency_key=null order 869016),v2.9_2026_05_30,Y
